MCID;SvcDate;SvcTime;Mileage;Category;Notes
"CAM53";2014-02-24;4.00;;CtrVol;""
"FLA24";2014-02-24;4.00;;CtrVol;""
"WRI15";2014-02-24;3.50;;CtrVol;""
"HER74";2014-02-24;4.00;;CtrVol;""
"REN13";2014-02-24;6.00;;CtrVol;""
"COR77";2014-02-24;4.00;;OfficeAdmin;""
"BAK56";2014-02-24;6.00;;CtrVol;""
"POO20";2014-02-24;2.50;;CtrVol;""
"DUN13";2014-02-25;11.00;;Supervisor;""
"DUM40";2014-02-25;4.00;;CtrVol;""
"LOW16";2014-02-25;4.00;;CtrVol;""
"LOW16A";2014-02-25;4.00;;CtrVol;""
"LAR33";2014-02-25;5.00;;CtrVol;""
"LAR33";2014-02-25;4.00;;OfficeAdmin;""
"HEN26";2014-02-25;4.00;;CtrVol;""
"KUN58";2014-02-25;2.00;;CtrVol;""
"HAR21A";2014-02-25;4.00;;CtrVol;""
"PER17";2014-02-25;1.00;;Committee;""
"CHE28";2014-02-26;4.00;;CtrVol;""
"CHE28A";2014-02-26;4.00;;CtrVol;""
"ALV34";2014-02-26;11.50;;Supervisor;""
"WRI15";2014-02-26;8.00;;CtrVol;""
"CLA23";2014-02-26;3.00;;CtrVol;""
"DIL82";2014-02-26;7.00;;CtrVol;""
"DOR16";2014-02-26;4.00;;OfficeAdmin;""
"HEN85";2014-02-26;4.00;;CtrVol;""
"FEI11";2014-02-26;4.00;;CtrVol;""
"FLA56A";2014-02-26;4.00;;CtrVol;""
"AIE30";2014-02-26;4.00;;CtrVol;""
"CAI58";2014-02-26;4.00;;CtrVol;""
"CAI58";2014-02-24;1.50;;Event;"Baby Mammal Class"
"THA32";2014-02-24;1.50;;Event;"Baby Mammal Class"
"MCC15A";2014-02-24;1.50;;Event;"Baby Mammal Class"
"OWE55";2014-02-24;1.50;;Event;"Baby Mammal Class"
"ALV34";2014-02-24;1.50;;Event;"Baby Mammal Class"
"CHR16A";2014-02-24;1.50;;Event;"Baby Mammal Class"
"BUC95";2014-02-24;1.50;;Event;"Baby Mammal Class"
"BEL60";2014-02-24;1.50;;Event;"Baby Mammal Class"
"LOW16";2014-02-24;1.50;;Event;"Baby Mammal Class"
"LOW16A";2014-02-24;1.50;;Event;"Baby Mammal Class"
"ALV34A";2014-02-24;1.50;;Event;"Baby Mammal Class"
"PLE17";2014-02-24;1.50;;Event;"Baby Mammal Class"
"POO20";2014-02-24;1.50;;Event;"Baby Mammal Class"
"LAM99";2014-02-24;1.50;;Event;"Baby Mammal Class"
"WRI15";2014-02-24;1.50;;Event;"Baby Mammal Class"
"FLA24";2014-02-24;1.50;;Event;"Baby Mammal Class"
"MUE17";2014-02-24;1.50;;Event;"Baby Mammal Class"
"HAR21A";2014-02-19;1.50;;Event;"Avian Renesting"
"THA32";2014-02-19;1.50;;Event;"Avian Renesting"
